Type,Polarizability (angstrom**3)
[#1:1],n1,0.2716589069919065
[#1:1]-[#6X4],n2,0.1316589069919065
"[#1:1]-[#6X4]-[#7,#8,#9,#16,#17,#35]",n3,0.1608695804210496
"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",n4,0.1608695804210496
"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])(-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",n5,0.1608695804210496
"[#1:1]-[#6X4]~[*+1,*+2]",n6,0.1316589069919065
[#1:1]-[#6X3],n7,0.1977673473134843
"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",n8,0.2714137129681657
"[#1:1]-[#6X3](~[#7,#8,#9,#16,#17,#35])~[#7,#8,#9,#16,#17,#35]",n9,0.2714137129681657
[#1:1]-[#6X2],n10,0.3716589069919065
[#1:1]-[#7],n11,0.03980706053005578
[#1:1]-[#8],n12,0.32000030904191
[#1:1]-[#16],n13,
[#6:1],n14,1.5788767467788636
[#6X2:1],n15,1.592942995425359
[#6X4:1],n16,1.592942995425359
[#8:1],n17,1.2031402015928032
[#8X2H0+0:1],n18,1.3008944265566225
[#8X2H1+0:1],n19,1.3008944265566225
[#7:1],n20,1.2389181589936076
[#16:1],n21,
[#15:1],n22,
[#9:1],n23,
[#17:1],n24,
[#35:1],n25,
[#53:1],n26,
[#3+1:1],n27,
[#11+1:1],n28,
[#19+1:1],n29,
[#37+1:1],n30,
[#55+1:1],n31,
[#9X0-1:1],n32,
[#17X0-1:1],n33,
[#35X0-1:1],n34,
[#53X0-1:1],n35,
[#1]-[#8X2H2+0:1]-[#1],n-tip3p-O,1.2008944265566225
[#1:1]-[#8X2H2+0]-[#1],n-tip3p-H,0.1716589069919065
