,SMIRKS,value
0,[#6X4:1]-[#6X3$(*=[#6]):2],0.0360742788125492
1,[#6X4:1]-[#1:2],0.0637830138313722
2,[#6X3$(*=[#6]):1]-[#1:2],0.0171527012616105
3,[#6X3$(*=[#6]):1]=[#6X3$(*=[#6]):2],0.0231734498655659
4,[#6X3$(*=[#6]):1]-[#6X3$(*=[#6]):2],-0.0051624304842791
5,[#6X4:1]-[#6X4:2],-0.0003535835549471
6,"[#6X4:1]-[#8X1,#8X2:2]",0.081854177001202
7,"[#6X3$(*=[#6]):1]-[#6X3$(*=[#8,#16]):2]",-0.0858349780898379
8,"[#6X3$(*=[#8,#16]):1]-[#8X1,#8X2:2]",0.096714081943382
9,"[#6X3$(*=[#8,#16]):1]=[#8X1$(*=[#6X3]-[#8X2]):2]",0.1452379882691495
10,"[#6X3$(*=[#8,#16]):1]=[#8X1,#8X2:2]",0.1991183145653863
11,"[#6X4:1]-[#6X3$(*=[#8,#16]):2]",-0.0588203823952141
12,"[#6X3$(*=[#8,#16]):1]-[#6X3$(*=[#8,#16]):2]",0.00988118502593
13,"[#8X1,#8X2:1]-[#1:2]",-0.1701894680838944
14,"[#6a:1]-[#8X1,#8X2:2]",0.0422925043928229
15,[#6a:1]-[#1:2],0.0324247480532894
16,[#6a:1]:[#6a:2],0.0005686448344631
17,[#6X4:1]-[#6a:2],0.0319155033062907
18,"[#6X3$(*=[#8,#16]):1]-[#6a:2]",0.0558611453576884
19,"[#6X3$(*=[#8,#16]):1]-[#1:2]",0.1603267370214518
20,"[#6X3:1](~[#8X1,#16X1])(~[#8X1:2])",1.3877787807814457e-17
21,"[#6X4:1]-[#7X4,#7X3,#7X2-1:2]",0.2022950437586733
22,"[#7X4,#7X3,#7X2-1:1]-[#1:2]",-0.2039159585138028
23,"[#6X3$(*=[#8,#16]):1]-[#7X2-1$(*-[#6X3$(*=[#8X1,#16X1])]),#7X3$(*-[#6X3$(*=[#8X1,#16X1])]):2]",0.2384286204941433
24,"[#7X2-1$(*-[#6X3$(*=[#8X1,#16X1])]),#7X3$(*-[#6X3$(*=[#8X1,#16X1])]):1]-[#1:2]",0.0
25,"[#6X3$(*=[#8,#16]):1]=[#8X1$(*=[#6r]@[#7r,#8r]):2]",-2.775557561562892e-17
26,"[#6a:1]:[#7X3ar5,#7X3+1,#7X3+0$(*-[#6X3$(*=[#7X3+1])]),$([#7X3](-[#8X1-1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):2]",0.0636309955479737
27,"[#7X3ar5,#7X3+1,#7X3+0$(*-[#6X3$(*=[#7X3+1])]),$([#7X3](-[#8X1-1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):1]-[#1:2]",0.0
28,[#6a:1]-[#6a:2],-0.0090049216705142
29,"[#6a$(*~[#7aX2,#8aX2]):1]-[#1:2]",0.0
30,"[#6a$(*~[#7aX2,#8aX2]):1]:[#7X2+0,#7X2-1ar5:2]",0.1761479179566415
31,"[#6a:1]:[#6a$(*~[#7aX2,#8aX2]):2]",0.0
32,"[#6a$(*~[#7aX2,#8aX2]):1]:[#6a$(*~[#7aX2,#8aX2]):2]",0.0
33,"[#6a:1]-[#7X4,#7X3,#7X2-1:2]",0.4566471921263876
34,"[#6X4:1]-[#7X2-1$(*-[#6X3$(*=[#8X1,#16X1])]),#7X3$(*-[#6X3$(*=[#8X1,#16X1])]):2]",0.2035553443984247
35,"[#6X4:1]-[#6a$(*~[#7aX2,#8aX2]):2]",-0.0138975824961038
36,"[#7X4,#7X3,#7X2-1:1]-[#8X1,#8X2:2]",0.3953217703313563
37,[#7X3+1:1]-[#8X1-1:2],-9.020562075079397e-16
38,"[$([#7X3](-[#8X1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):1]~[#8X1:2]",0.4111235907128731
39,"[#7X3ar5,#7X3+1,#7X3+0$(*-[#6X3$(*=[#7X3+1])]),$([#7X3](-[#8X1-1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):1]-[#8X1,#8X2:2]",0.0
40,"[#6a:1]-[#7X3ar5,#7X3+1,#7X3+0$(*-[#6X3$(*=[#7X3+1])]),$([#7X3](-[#8X1-1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):2]",-0.5074326314941082
